BKCLASS,CB,CERT,CITY,CRAG,CRAGSM,CRAUTO,CRCI,CRCINUS,CRCON,CRCONOTH,CRCRCD,CRDEP,CRDEPNUS,CRFORGV,CRLNLS,CRLS,CROTHER,CRRE,CRREAG,CRRECONS,CRREFOR,CRRELOC,CRREMULT,CRRENRES,CRRENUS,CRREOFFDOM,CRRERES,CRRERSF2,CRRERSFM,DRAG,DRAGSM,DRAUTO,DRCI,DRCINUS,DRCON,DRCONOTH,DRCRCD,DRDEP,DRDEPNUS,DRFORGV,DRLNLS,DRLS,DROTHER,DRRE,DRREAG,DRRECONS,DRREFOR,DRRELOC,DRREMULT,DRRENRES,DRRENUS,DRREOFFDOM,DRRERES,DRRERSF2,DRRERSFM,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NTAG,NTAGSM,NTAUTO,NTCI,NTCINUS,NTCON,NTCONOTH,NTCRCD,NTDEP,NTDEPNUS,NTFORGV,NTLNLS,NTLS,NTOTHER,NTRE,NTREAG,NTRECONS,NTREFOR,NTRELOC,NTREMULT,NTRENRES,NTRENUS,NTREOFFDOM,NTRERES,NTRERSF2,NTRERSFM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,10004,MARKESAN,0.0,0.0,0.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2023-03-22,1910-01-20,9,9,7,MADISON,10004_20250930,DIF,1934-01-01,0,ERGO BANK,FS BANCSHARES INC,0.0,0.0,0.0,29.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-3.0,0.0,-3.0,3,6,0,0,FDIC,2025-09-30,1249691.0,2,WI,0,0,53946
NM,1.0,10011,MONROE,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,54.0,0.0,54.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,318.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1915-01-01,9,9,7,MADISON,10011_20250930,DIF,1934-01-01,0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,0.0,0.0,10.0,0.0,0.0,9.0,-1.0,0.0,0.0,0.0,0.0,262.0,307.0,0.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54,-54.0,0.0,-54.0,3,6,0,0,FDIC,2025-09-30,2961347.0,4,WI,1,0,53566
NM,1.0,10012,ALMOND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1901-01-01,9,9,7,APPLETON,10012_20250930,DIF,1934-01-01,0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,-7.0,0.0,-7.0,3,4,0,0,FDIC,2025-09-30,1141133.0,4,WI,1,0,54909
NM,1.0,10015,NEW AUBURN,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,4.0,0.0,0.0,0.0,288.0,0.0,0.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,2022-08-31,1907-08-28,9,9,9,EAU CLAIRE,10015_20250930,DIF,1934-01-01,0,SECURITY BANK,SECURITY BANK SHARES INC,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0,271.0,274.0,0.0,0.0,0.0,0.0,-3.0,0.0,271,0.0,0.0,0.0,3,4,0,0,FDIC,2025-09-30,1128497.0,4,WI,0,0,54757
N,1.0,10044,FOND DU LAC,0.0,0.0,8.0,79.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,588.0,0.0,237.0,263.0,0.0,0.0,0.0,0.0,11.0,252.0,0.0,263,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4398.0,0.0,0.0,4309.0,0.0,0.0,0.0,0.0,0.0,4150.0,0.0,4309,159.0,0.0,159.0,2022-08-31,1933-12-20,9,9,7,APPLETON,10044_20250930,DIF,1934-01-01,0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,0.0,0.0,-8.0,6.0,0.0,-5.0,0.0,3.0,0.0,0.0,0.0,3810.0,0.0,-237.0,4046.0,0.0,0.0,0.0,0.0,-11.0,3898.0,0.0,4046,159.0,0.0,159.0,3,34,0,0,OCC,2025-09-30,1202052.0,4,WI,0,1,54935
NM,1.0,10055,WAYCROSS,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1907-06-19,5,5,6,ALBANY GA,10055_20250930,DIF,1934-01-01,0,FIRST SOUTHERN BANK,FSBH CORP,0.0,0.0,0.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,7,0,0,FDIC,2025-09-30,5685653.0,4,GA,0,0,31501
NM,1.0,10057,SPARTA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1904-09-01,5,5,6,ATLANTA,10057_20250930,DIF,1934-01-01,0,BANK OF HANCOCK COUNTY,Unknown,0.0,0.0,3.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,1,0,0,FDIC,2025-09-30,0.0,7,GA,0,0,31087
SM,1.0,1005,MOUNT PLEASANT,0.0,0.0,4.0,90.0,0.0,96.0,92.0,0.0,0.0,0.0,0.0,2147.0,0.0,1860.0,101.0,0.0,0.0,0.0,1.0,0.0,50.0,0.0,101,51.0,0.0,50.0,0.0,0.0,5.0,72.0,0.0,237.0,232.0,0.0,0.0,0.0,0.0,738.0,0.0,428.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,2022-10-09,1903-07-01,9,9,7,DETROIT,1005_20250930,DIF,1934-01-01,0,ISABELLA BANK,ISABELLA BANK CORP,0.0,0.0,1.0,-18.0,0.0,141.0,140.0,0.0,0.0,0.0,0.0,-1409.0,0.0,-1432.0,-100.0,0.0,0.0,0.0,-1.0,0.0,-50.0,0.0,-100,-50.0,0.0,-49.0,3,31,0,0,FED,2025-09-30,1401118.0,4,MI,0,1,48858
NM,1.0,10072,CAMILLA,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1913-05-24,5,5,6,ALBANY GA,10072_20250930,DIF,1934-01-01,0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,1,0,0,FDIC,2025-09-30,1081529.0,2,GA,0,0,31730
NM,1.0,10074,IRWINTON,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-07-19,1907-07-16,5,5,6,ATLANTA,10074_20250930,DIF,1934-01-01,0,APEX BANKING COMPANY OF GEORGIA,Unknown,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,2,0,0,FDIC,2025-09-30,0.0,8,GA,0,0,31042
