ALLOTHL,ASSET2,ASSET5,ASSTLT,AVASSETJ,BKCLASS,BRO,BROINS,CB,CD1T3,CD1T3S,CD3LES,CD3LESS,CD3T12,CD3T12S,CDOV3,CDOV3S,CERT,CITY,COREDEP,DDT,DEP,DEPCSBQ,DEPDOM,DEPFBKF,DEPFGOVF,DEPFOR,DEPIDOM,DEPIFOR,DEPINS,DEPIPCCF,DEPLGAMT,DEPLGB,DEPLGRA,DEPLGRN,DEPLSNB,DEPNIDOM,DEPNIFOR,DEPSMAMT,DEPSMB,DEPSMRA,DEPSMRN,DEPUNA,DEPUSBKF,DEPUSMF,EFFDATE,EQ,EQCBHCTR,EQCCOMPI,EQCDIVC,EQCDIVP,EQCMRG,EQCONSUB,EQCPREV,EQCREST,EQCS,EQCSTKRX,EQCTRSTX,EQPP,EQSUR,EQTOT,EQUPTOT,ERNAST,ESTINS,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,FREPP,ID,INSAGNT1,INSDATE,IRAKEOGH,LIAB,LIABEQ,MUTUAL,NAMEFULL,NAMEHCR,NETINC,NTR,NTRCDSM,NTRCOMOT,NTRFCFG,NTRIPC,NTRMUNI,NTRSMMDA,NTRSOTH,NTRTMLGJ,NTRTMMED,NTRUSGOV,OALIFGEN,OALIFHYB,OALIFINS,OALIFSEP,OCCDIST,OFFDOM,OFFOA,OTBFH1L,OTBFH1T3,OTBFH3T5,OTBFHOV5,OTBFHSTA,OTBOT1L,OTBOT1T3,OTBOT3T5,OTBOTOV5,OTHBFHLB,OTHBOT1L,OTHBRF,PARCERT,RBCT1J,RBCT2,REGAGNT,REPDTE,RSSDHCR,RWAJT,SPECGRP,STALP,SUBCHAPS,SUBND,TRADEL,TRN,TRNCBO,TRNFCFG,TRNIPCOC,TRNMUNI,TRNNIA,TRNNIN,TRNUSGOV,TRUST,TS,VOLIAB,ZIP
2402,250186.5,245967.75,65947.0,249182.0,NM,24480.0,24480.0,1.0,1975.0,15964.0,4261.0,16973.0,19295.0,44049.0,0.0,212.0,10004,MARKESAN,166525.0,23925.0,216536,0.0,216536,0.0,0.0,0.0,195739.0,0.0,208551,0.0,12603,15,630,2,0.0,20797.0,0.0,198390,8103.0,5911,279.0,0,0.0,0.0,2023-03-22,25673.0,1416.0,638.0,844.0,0.0,0.0,0.0,23211.0,0.0,150.0,0.0,0.0,0.0,7623.0,25673.0,17900.0,236456.0,95.87053058372484,1910-01-20,9,9,7,MADISON,0,10004_20250930,DIF,1934-01-01,0.0,228938,254611,0,ERGO BANK,FS BANCSHARES INC,1251.0,160623,30561.0,0,0,154672,5951.0,33969.0,23925.0,25531,46637.0,0.0,2016.0,0.0,2016.0,0.0,3,6,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000,0,22591.0,1690.0,FDIC,2025-09-30,1249691.0,210530.0,2,WI,0,0.0,0,55913,0,0,53432,2481.0,0.0,0.0,0.0,0,192611.0,25531.0,53946
2022,486171.0,473806.25,93006.0,495911.0,NM,11157.0,11157.0,1.0,13572.0,12883.0,6084.0,20434.0,19923.0,62096.0,433.0,2518.0,10011,MONROE,329970.0,109090.0,381139,0.0,381139,0.0,0.0,0.0,323302.0,0.0,332307,0.0,102657,213,2066,6,0.0,57837.0,0.0,264632,17033.0,12925,437.0,0,0.0,0.0,2022-08-31,27314.0,1800.0,3797.0,3070.0,0.0,0.0,0.0,20014.0,0.0,64.0,0.0,0.0,0.0,23414.0,27314.0,3836.0,462540.0,86.9276446583656,1915-01-01,9,9,7,MADISON,10650,10011_20250930,DIF,1934-01-01,0.0,463636,490950,0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,4772.0,268021,52824.0,0,0,258948,9073.0,76820.0,53258.0,40012,45107.0,0.0,6052.0,0.0,6052.0,0.0,3,6,0,1958.0,18500.0,47000.0,2367.0,0.0,0.0,0.0,0.0,0.0,69825.0,0.0,69825,0,37620.0,2482.0,FDIC,2025-09-30,2961347.0,373348.0,4,WI,1,0.0,0,113119,0,0,108592,4527.0,0.0,0.0,0.0,0,272050.0,52620.0,53566
508,211739.0,211528.5,26579.0,220977.0,NM,0.0,0.0,1.0,0.0,3440.0,3089.0,4909.0,9857.0,9474.0,0.0,398.0,10012,ALMOND,173027.0,50200.0,185973,0.0,185973,0.0,0.0,0.0,135773.0,0.0,125799,0.0,86894,107,0,0,0.0,50200.0,0.0,94819,6793.0,4230,297.0,0,0.0,0.0,2022-08-31,25602.0,0.0,0.0,529.0,0.0,0.0,0.0,23611.0,0.0,250.0,0.0,0.0,0.0,17717.0,25602.0,7635.0,207507.0,67.65460383020603,1901-01-01,9,9,7,APPLETON,0,10012_20250930,DIF,1934-01-01,0.0,195331,220933,0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,2520.0,131415,9659.0,0,0,124021,7394.0,64816.0,35432.0,12946,8562.0,0.0,4229.0,0.0,4229.0,0.0,3,4,0,0.0,3000.0,1850.0,4000.0,0.0,0.0,0.0,0.0,0.0,8850.0,0.0,8850,0,25587.0,0.0,FDIC,2025-09-30,1141133.0,0.0,4,WI,1,0.0,0,54558,0,0,52161,2397.0,0.0,0.0,0.0,0,135773.0,12946.0,54909
622,229824.5,225600.25,18145.0,229703.0,NM,44866.0,44866.0,1.0,2200.0,38728.0,4584.0,13192.0,9597.0,23040.0,484.0,5665.0,10015,NEW AUBURN,134582.0,34408.0,196313,0.0,196313,0.0,0.0,0.0,161905.0,0.0,173822,0.0,45294,90,842,3,0.0,34408.0,0.0,142058,6961.0,8514,361.0,0,0.0,0.0,2022-08-31,26576.0,0.0,80.0,0.0,0.0,0.0,0.0,24239.0,0.0,150.0,0.0,0.0,0.0,6053.0,26576.0,20373.0,223820.0,88.36549606523376,1907-08-28,9,9,9,EAU CLAIRE,0,10015_20250930,DIF,1934-01-01,0.0,203935,230511,0,SECURITY BANK,SECURITY BANK SHARES INC,2257.0,145464,55966.0,0,0,144162,1302.0,33534.0,14440.0,16865,24659.0,0.0,1405.0,0.0,1405.0,0.0,3,4,0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,7000,0,26725.0,1860.0,FDIC,2025-09-30,1128497.0,190134.0,4,WI,0,0.0,0,50849,0,0,47380,3469.0,0.0,0.0,0.0,0,161905.0,16865.0,54757
24689,2903077.0,2904857.0,917109.0,2932240.0,N,0.0,0.0,1.0,945.0,22943.0,23705.0,106985.0,31098.0,177158.0,0.0,5067.0,10044,FOND DU LAC,2265274.0,883510.0,2321022,0.0,2321022,0.0,0.0,0.0,1717036.0,0.0,1328819,0.0,1118229,922,2723,7,0.0,603986.0,0.0,1167401,79854.0,37167,1953.0,996701,0.0,0.0,2022-08-31,541752.0,0.0,20972.0,0.0,0.0,0.0,0.0,488156.0,0.0,5000.0,0.0,0.0,0.0,55330.0,541752.0,481422.0,2776671.0,57.1407255151536,1933-12-20,9,9,7,APPLETON,31588,10044_20250930,DIF,1934-01-01,0.0,2377299,2919051,0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,32624.0,1437513,197296.0,0,0,1384246,53267.0,744756.0,324856.0,55748,114856.0,0.0,21180.0,4309.0,58033.0,32544.0,3,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,561327.0,0.0,OCC,2025-09-30,1202052.0,0.0,4,WI,0,0.0,0,883510,0,0,738456,145053.0,0.0,0.0,1.0,1,1437513.0,87336.0,54935
1630,327541.0,324683.5,92124.0,324653.0,NM,0.0,0.0,1.0,502.0,940.0,12836.0,12297.0,8472.0,12960.0,0.0,49.0,10055,WAYCROSS,270464.0,98091.0,292274,0.0,292274,0.0,0.0,0.0,194256.0,0.0,190429,0.0,154405,209,359,1,0.0,98018.0,0.0,135342,8403.0,2587,134.0,0,0.0,0.0,2022-08-31,30230.0,73.0,406.0,0.0,0.0,0.0,0.0,27315.0,0.0,15040.0,0.0,0.0,0.0,20640.0,30230.0,-5450.0,301767.0,65.06100248383117,1907-06-19,5,5,6,ALBANY GA,0,10055_20250930,DIF,1934-01-01,0.0,293904,324134,0,FIRST SOUTHERN BANK,FSBH CORP,2436.0,146931,11652.0,0,0,127535,19396.0,82817.0,16057.0,21810,14595.0,0.0,5098.0,0.0,5098.0,0.0,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,34160.0,2171.0,FDIC,2025-09-30,5685653.0,239823.0,4,GA,0,0.0,0,145342,0,0,126867,18475.0,0.0,0.0,0.0,0,194182.0,21810.0,31501
244,81703.5,83097.25,45306.0,83276.0,NM,0.0,0.0,1.0,554.0,6954.0,413.0,4625.0,303.0,9385.0,735.0,638.0,10057,SPARTA,65127.0,20874.0,67132,0.0,67132,0.0,0.0,0.0,46259.0,0.0,62967,0.0,8266,16,0,0,1.0,20873.0,0.0,56362,4427.0,2605,124.0,0,0.0,0.0,2022-08-31,13139.0,0.0,853.0,108.0,0.0,0.0,0.0,12165.0,0.0,1200.0,0.0,0.0,0.0,3500.0,13139.0,8439.0,76733.0,93.65490161081613,1904-09-01,5,5,6,ATLANTA,0,10057_20250930,DIF,1934-01-01,0.0,67376,80515,0,BANK OF HANCOCK COUNTY,Unknown,229.0,36497,14102.0,0,0,35675,822.0,2088.0,10803.0,2005,7500.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17450.0,0.0,FDIC,2025-09-30,0.0,0.0,7,GA,0,0.0,0,30635,0,0,24660,5975.0,0.0,0.0,0.0,0,46258.0,2005.0,31087
16796,2159444.0,2102731.5,501016.0,2169712.0,SM,0.0,0.0,1.0,7037.0,22686.0,28334.0,71705.0,90579.0,174430.0,1021.0,9006.0,1005,MOUNT PLEASANT,1823307.0,821380.0,1950278,0.0,1950278,0.0,0.0,0.0,1529052.0,0.0,1224744,0.0,837156,989,9829,28,0.0,421226.0,0.0,1061669,74805.0,42604,1739.0,726514,0.0,0.0,2022-10-09,181550.0,0.0,10946.0,1500.0,0.0,0.0,0.0,155936.0,0.0,6831.0,0.0,0.0,0.0,73169.0,181550.0,101550.0,2060638.0,62.766891923056825,1903-07-01,9,9,7,DETROIT,62022,1005_20250930,DIF,1934-01-01,52433.0,2029096,2210646,0,ISABELLA BANK,ISABELLA BANK CORP,16168.0,1128898,143542.0,1496,0,964227,157400.0,431201.0,292899.0,126971,134285.0,5775.0,17712.0,2004.0,45651.0,25935.0,3,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,187258.0,13820.0,FED,2025-09-30,1401118.0,1526772.0,4,MI,0,0.0,0,821380,7985,0,632558,179758.0,0.0,0.0,1079.0,1,1128898.0,188993.0,48858
999,146582.5,144405.75,38598.0,150877.0,NM,5000.0,5000.0,1.0,1682.0,1121.0,555.0,4384.0,3560.0,14697.0,0.0,226.0,10072,CAMILLA,116586.0,57763.0,127383,0.0,127383,0.0,0.0,0.0,82833.0,0.0,86344,0.0,58868,70,1436,5,2687.0,44550.0,0.0,65168,3472.0,2426,129.0,0,0.0,0.0,2022-08-31,11343.0,0.0,1157.0,225.0,0.0,0.0,0.0,9665.0,0.0,250.0,0.0,0.0,0.0,5750.0,11343.0,5343.0,136930.0,67.51004706875791,1913-05-24,5,5,6,ALBANY GA,0,10072_20250930,DIF,1934-01-01,0.0,137597,148940,0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,745.0,69452,6286.0,2687,0,60482,6283.0,21481.0,21746.0,5797,14142.0,0.0,2319.0,0.0,2319.0,0.0,5,1,0,9215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9215.0,0.0,9215,0,14756.0,0.0,FDIC,2025-09-30,1081529.0,0.0,2,GA,0,0.0,0,57931,0,0,51218,6713.0,0.0,0.0,0.0,0,69620.0,15012.0,31730
298,68078.0,64353.25,14171.0,69488.0,NM,0.0,0.0,1.0,0.0,876.0,1491.0,3963.0,2458.0,7315.0,0.0,0.0,10074,IRWINTON,59731.0,16334.0,63680,0.0,63680,0.0,0.0,0.0,47360.0,0.0,51162,0.0,25858,53,0,0,0.0,16320.0,0.0,37063,2384.0,849,146.0,0,0.0,0.0,2022-07-19,5585.0,0.0,503.0,0.0,0.0,0.0,0.0,4893.0,0.0,184.0,0.0,0.0,0.0,4882.0,5585.0,519.0,64467.0,80.2289477810883,1907-07-16,5,5,6,ATLANTA,0,10074_20250930,DIF,1934-01-01,0.0,63978,69563,0,APEX BANKING COMPANY OF GEORGIA,Unknown,189.0,31348,5684.0,0,0,30079,1269.0,7056.0,8189.0,3949,6470.0,0.0,0.0,0.0,0.0,0.0,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6772.0,0.0,FDIC,2025-09-30,0.0,0.0,8,GA,0,0.0,0,32332,0,0,22675,9657.0,0.0,0.0,0.0,0,47346.0,3949.0,31042
