BKCLASS,CB,CERT,CITY,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAAG,NAAGSM,NAASSET,NAAUTO,NACI,NACINUS,NACON,NACONOTH,NACRCD,NADEP,NADEPNUS,NAFG,NAGTY,NAGTYGNM,NAGTYPAR,NALNSALE,NALS,NAMEFULL,NAMEHCR,NAOTHLN,NARE,NAREAG,NARECNFM,NARECNOT,NARECONS,NAREFOR,NARELNDO,NARELOC,NAREMULT,NARENRES,NARENROT,NARENROW,NARENUS,NARERES,NARERSF2,NARERSFM,NASCDEBT,OCCDIST,OFFDOM,OFFOA,P3AG,P3AGSM,P3ASSET,P3AUTO,P3CI,P3CINUS,P3CON,P3CONOTH,P3CRCD,P3DEP,P3DEPNUS,P3FG,P3GTY,P3GTYGNM,P3GTYPAR,P3LNSALE,P3LS,P3OTHLN,P3RE,P3REAG,P3RECNFM,P3RECNOT,P3RECONS,P3REFOR,P3RELNDO,P3RELOC,P3REMULT,P3RENRES,P3RENROT,P3RENROW,P3RENUS,P3RERES,P3RERSF2,P3RERSFM,P3SCDEBT,P9AG,P9AGSM,P9ASSET,P9AUTO,P9CI,P9CINUS,P9CON,P9CONOTH,P9CRCD,P9DEP,P9DEPNUS,P9FG,P9GTY,P9GTYGNM,P9GTYPAR,P9LNSALE,P9LS,P9OTHLN,P9RE,P9REAG,P9RECNFM,P9RECNOT,P9RECONS,P9REFOR,P9RELNDO,P9RELOC,P9REMULT,P9RENRES,P9RENROT,P9RENROW,P9RENUS,P9RERES,P9RERSF2,P9RERSFM,P9SCDEBT,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,10004,MARKESAN,2023-03-22,1910-01-20,9,9,7,MADISON,10004_20250930,DIF,1934-01-01,0,0.0,1534.0,3771,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERGO BANK,FS BANCSHARES INC,1534.0,1911.0,1331.0,0.0,0.0,0.0,0.0,1911,0.0,500.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,3,6,0,0.0,57.0,78,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1249691.0,2,WI,0,0,53946
NM,1.0,10011,MONROE,2022-08-31,1915-01-01,9,9,7,MADISON,10011_20250930,DIF,1934-01-01,0,0.0,0.0,883,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,0.0,81.0,0.0,0.0,0.0,0.0,0.0,81,13.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,68.0,0.0,3,6,0,0.0,0.0,468,0.0,137.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,320,37.0,0.0,198.0,0.0,198.0,0.0,122.0,0.0,85.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2961347.0,4,WI,1,0,53566
NM,1.0,10012,ALMOND,2022-08-31,1901-01-01,9,9,7,APPLETON,10012_20250930,DIF,1934-01-01,0,0.0,0.0,270,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,0.0,269.0,0.0,0.0,111.0,111.0,0.0,269,0.0,0.0,100.0,0.0,100.0,0.0,58.0,0.0,58.0,0.0,3,4,0,0.0,0.0,286,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,161,0.0,0.0,47.0,0.0,47.0,0.0,114.0,0.0,114.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1141133.0,4,WI,1,0,54909
NM,1.0,10015,NEW AUBURN,2022-08-31,1907-08-28,9,9,9,EAU CLAIRE,10015_20250930,DIF,1934-01-01,0,0.0,0.0,2499,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECURITY BANK,SECURITY BANK SHARES INC,42.0,2210.0,299.0,0.0,0.0,0.0,0.0,2210,130.0,0.0,1434.0,0.0,1434.0,0.0,477.0,0.0,347.0,0.0,3,4,0,0.0,0.0,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,221.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1128497.0,4,WI,0,0,54757
N,1.0,10044,FOND DU LAC,2022-08-31,1933-12-20,9,9,7,APPLETON,10044_20250930,DIF,1934-01-01,0,0.0,206.0,36372,28.0,1118.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,206.0,35013.0,429.0,0.0,0.0,0.0,0.0,35013,339.0,0.0,33338.0,32932.0,406.0,0.0,1246.0,481.0,426.0,0.0,3,34,0,0.0,0.0,1264,23.0,573.0,0.0,159.0,134.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,45.0,0.0,0.0,0.0,0.0,532,25.0,0.0,130.0,130.0,0.0,0.0,357.0,0.0,332.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OCC,2025-09-30,1202052.0,4,WI,0,1,54935
NM,1.0,10055,WAYCROSS,2022-08-31,1907-06-19,5,5,6,ALBANY GA,10055_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIRST SOUTHERN BANK,FSBH CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,5685653.0,4,GA,0,0,31501
NM,1.0,10057,SPARTA,2022-08-31,1904-09-01,5,5,6,ATLANTA,10057_20250930,DIF,1934-01-01,0,0.0,0.0,95,25.0,25.0,0.0,60.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BANK OF HANCOCK COUNTY,Unknown,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,371,67.0,0.0,0.0,97.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,274.0,0.0,0.0,0.0,32,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0,FDIC,2025-09-30,0.0,7,GA,0,0,31087
SM,1.0,1005,MOUNT PLEASANT,2022-10-09,1903-07-01,9,9,7,DETROIT,1005_20250930,DIF,1934-01-01,0,0.0,0.0,3442,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ISABELLA BANK,ISABELLA BANK CORP,0.0,3426.0,0.0,0.0,0.0,0.0,0.0,3426,0.0,0.0,0.0,0.0,0.0,0.0,3426.0,0.0,3426.0,0.0,3,31,0,0.0,0.0,500,7.0,100.0,0.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,315,0.0,0.0,139.0,139.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0,FED,2025-09-30,1401118.0,4,MI,0,1,48858
NM,1.0,10072,CAMILLA,2022-08-31,1913-05-24,5,5,6,ALBANY GA,10072_20250930,DIF,1934-01-01,0,0.0,0.0,555,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,0.0,497.0,0.0,0.0,0.0,0.0,0.0,497,0.0,0.0,322.0,322.0,0.0,0.0,175.0,0.0,175.0,0.0,5,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1081529.0,2,GA,0,0,31730
NM,1.0,10074,IRWINTON,2022-07-19,1907-07-16,5,5,6,ATLANTA,10074_20250930,DIF,1934-01-01,0,0.0,0.0,60,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APEX BANKING COMPANY OF GEORGIA,Unknown,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,5,2,0,0.0,0.0,25,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0,FDIC,2025-09-30,0.0,8,GA,0,0,31042
