AOA,ASSET,AVMMLF,AVPPPPLG,BKCLASS,BKPREM,CB,CERT,CHBAL,CHBALI,CHBALNI,CHCIC,CHCOIN,CHFRB,CHITEM,CHNUS,CHUS,CITY,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,FREPO,ID,INSAGNT1,INSDATE,INTAN,INTANGW,INTANMSR,INTANOTH,LNAG,LNAG1,LNAG1N,LNAG2,LNAG2N,LNAG3,LNAG3N,LNAG4,LNAG4N,LNAGFOR,LNATRES,LNAUTO,LNCI,LNCI1,LNCI1N,LNCI2,LNCI2N,LNCI3,LNCI3N,LNCI4,LNCI4N,LNCIFOR,LNCINUSF,LNCOMRE,LNCON,LNCONFOR,LNCONOTH,LNCONRP,LNCONTRA,LNCRCD,LNDEPAOBK,LNDEPCBF,LNDEPFCF,LNDEPUSF,LNEXAMT,LNFG,LNFGFOR,LNLSFOR,LNLSGR,LNLSGRF,LNLSGRS,LNLSNET,LNLSSALE,LNMUNI,LNMUNIF,LNOT1T3,LNOT3LES,LNOT3T12,LNOT3T5,LNOT5T15,LNOTCI,LNOTHERF,LNOTOV15,LNPLEDGE,LNRE,LNREAG,LNREAG1,LNREAG1N,LNREAG2,LNREAG2N,LNREAG3,LNREAG3N,LNREAG4,LNREAG4N,LNRECNFM,LNRECNOT,LNRECONS,LNREDOM,LNREFOR,LNRELOC,LNREMULT,LNRENR1,LNRENR1N,LNRENR2,LNRENR2N,LNRENR3,LNRENR3N,LNRENR4,LNRENR4N,LNRENRES,LNRENROT,LNRENROW,LNRENUS,LNRERES,LNRERSF1,LNRERSF2,LNRERSFM,LNRS1T3,LNRS3LES,LNRS3T12,LNRS3T5,LNRS5T15,LNRSOV15,LNSOTHER,LS,LSFOR,MMLFBAL,MUTUAL,NAMEFULL,NAMEHCR,NARSLNFM,NARSLNLS,NARSLNLT,OCCDIST,OFFDOM,OFFOA,ORE,OREAG,ORECONS,OREINV,OREMULT,ORENRES,OREOTH,OREOTHF,ORERES,P3RSLNFM,P3RSLNLS,P3RSLNLT,P9RSLNFM,P9RSLNLS,P9RSLNLT,PARCERT,PPPLF1LS,PPPLFOV1,PPPLNBAL,PPPLNNUM,PPPLNPLG,RB2LNRES,REGAGNT,REPDTE,RSLNLS,RSLNLTOT,RSLNREFM,RSSDHCR,SC,SC1LES,SCABS,SCAF,SCASPNSUM,SCCMOG,SCCMOS,SCCMOT,SCCMPT,SCCOL,SCCPTG,SCDOMO,SCEQ,SCEQFV,SCEQNFT,SCFMN,SCFORD,SCGNM,SCGTY,SCHA,SCHTMRES,SCMTGBK,SCMUNI,SCNM1T3,SCNM3LES,SCNM3T12,SCNM3T5,SCNM5T15,SCNMOV15,SCO3YLES,SCODOT,SCODPC,SCODPI,SCOOV3Y,SCPLEDGE,SCPT3LES,SCPT3T12,SCPT3T5,SCPT5T15,SCPTOV15,SCRDEBT,SCRMBPI,SCSFP,SCSNHAA,SCSNHAF,SCTATFR,SCUS,SCUSO,SCUST,SPECGRP,STALP,SUBCHAPS,TRADE,TRLREVAL,TRREVALSUM,TRUST,UNINCFOR,ZIP
6071,254611,0.0,0.0,NM,3286.0,1.0,10004,4969,368.0,4601.0,0.0,0.0,0.0,0.0,0.0,0.0,MARKESAN,2023-03-22,1910-01-20,9,9,7,MADISON,4165,10004_20250930,DIF,1934-01-01,4197.0,2974.0,0.0,1223.0,16707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0,834.0,22870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.0,0.0,241.0,0.0,0,0.0,0,0.0,0.0,0.0,7905.0,0.0,0.0,0.0,199337,0.0,199337,197647,0.0,4545.0,0.0,45655.0,26611.0,37949.0,24123.0,20763.0,4556.0,0.0,14934.0,44812.0,154129,54017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654.0,1799.0,3453,154129,0.0,1848,7294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61830,42970.0,18860.0,0.0,27535,2248.0,76.0,25611.0,6692.0,2377.0,3076.0,2829.0,4251.0,6308.0,11,0,0.0,0.0,0,ERGO BANK,FS BANCSHARES INC,0.0,0.0,0.0,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1690.0,FDIC,2025-09-30,0.0,0.0,0.0,1249691.0,34276,747.0,0,34250,888,1259.0,0,1259.0,6655.0,5980.0,6655.0,990.0,0.0,26,26,7702.0,0.0,0.0,7702.0,0,0.0,21596.0,8763.0,2995.0,1920.0,747.0,4840.0,8807.0,0.0,3167.0,990,0,0.0,4072.0,3508,0.0,0.0,403.0,3017.0,3795.0,34250.0,0,0.0,0,0,0.0,24497,22484,2013,2,WI,0,0,0.0,0,0,0.0,53946
14352,490950,0.0,0.0,NM,6837.0,1.0,10011,5973,784.0,5189.0,0.0,0.0,0.0,0.0,0.0,0.0,MONROE,2022-08-31,1915-01-01,9,9,7,MADISON,4357,10011_20250930,DIF,1934-01-01,2032.0,0.0,869.0,1163.0,16189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.0,1781.0,43361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3320.0,0.0,1528.0,11.0,0,0.0,0,0.0,0.0,0.0,12587.0,0.0,0.0,0.0,362960,0.0,362960,360605,0.0,4598.0,0.0,102676.0,62002.0,55943.0,30995.0,14337.0,7600.0,0.0,3231.0,287853.0,292490,51285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7602.0,13733.0,21335,292490,0.0,24722,14253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86359,32846.0,53513.0,0.0,119258,0.0,1575.0,92961.0,33631.0,11967.0,8382.0,33282.0,5543.0,88.0,124,2878,0.0,0.0,0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,0.0,0.0,0.0,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2482.0,FDIC,2025-09-30,0.0,61.0,0.0,2961347.0,96794,2863.0,0,94510,13193,6713.0,0,6713.0,20157.0,2527.0,20157.0,2200.0,0.0,84,84,24694.0,0.0,0.0,24694.0,2200,0.0,54091.0,25285.0,6618.0,4413.0,3186.0,6107.0,36268.0,6183.0,6299.0,2200,0,0.0,2941.0,15302,0.0,0.0,279.0,8199.0,16216.0,96709.0,0,0.0,0,0,0.0,69225,67284,1941,4,WI,1,0,0.0,0,0,0.0,53566
7117,220933,0.0,0.0,NM,2926.0,1.0,10012,26426,23058.0,3368.0,0.0,0.0,0.0,0.0,0.0,0.0,ALMOND,2022-08-31,1901-01-01,9,9,7,APPLETON,0,10012_20250930,DIF,1934-01-01,15.0,0.0,0.0,15.0,8067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,22.0,11908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,126.0,36.0,0,250.0,0,0.0,0.0,0.0,1396.0,0.0,0.0,0.0,123146,0.0,123146,121923,0.0,4018.0,0.0,17832.0,27733.0,32762.0,5951.0,10543.0,4029.0,0.0,1214.0,90588.0,98708,17174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3292.0,3639.0,6931,98708,0.0,687,12631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34184,23671.0,10513.0,0.0,27788,0.0,202.0,26899.0,7929.0,5756.0,8742.0,3004.0,1056.0,354.0,11,0,0.0,0.0,0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,0.0,0.0,0.0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,FDIC,2025-09-30,0.0,0.0,0.0,1141133.0,62526,9488.0,0,0,21745,106.0,0,106.0,1810.0,557.0,1810.0,1000.0,0.0,0,0,5071.0,0.0,0.0,5071.0,62526,0.0,7544.0,32237.0,21193.0,2774.0,7768.0,17241.0,7816.0,0.0,138.0,1000,0,0.0,525.0,8171,0.0,0.0,0.0,2187.0,2884.0,62526.0,0,0.0,2999,2803,0.0,29289,29289,0,4,WI,1,0,0.0,0,0,0.0,54909
3753,230511,0.0,0.0,NM,420.0,1.0,10015,7245,4727.0,2518.0,0.0,0.0,0.0,0.0,0.0,0.0,NEW AUBURN,2022-08-31,1907-08-28,9,9,9,EAU CLAIRE,17124,10015_20250930,DIF,1934-01-01,0.0,0.0,0.0,0.0,5482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839.0,1585.0,13414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2621.0,0.0,976.0,15.0,0,45.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199508,0.0,199508,197669,0.0,821.0,0.0,81999.0,21660.0,18101.0,22750.0,5517.0,1168.0,0.0,516.0,11403.0,176823,26474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5722.0,1629.0,7351,176823,0.0,9651,1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83503,830.0,82673.0,0.0,57539,0.0,1075.0,46813.0,20158.0,2209.0,3150.0,12301.0,2401.0,6247.0,347,0,0.0,0.0,0,SECURITY BANK,SECURITY BANK SHARES INC,0.0,0.0,0.0,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1860.0,FDIC,2025-09-30,0.0,0.0,0.0,1128497.0,4300,0.0,0,4300,821,0.0,0,0.0,0.0,325.0,0.0,0.0,0.0,0,0,858.0,0.0,0.0,858.0,0,0.0,1183.0,2296.0,542.0,0.0,0.0,200.0,2374.0,0.0,87.0,0,0,0.0,239.0,0,0.0,0.0,0.0,495.0,356.0,4299.0,0,0.0,0,0,0.0,2004,2004,0,4,WI,0,0,0.0,0,0,0.0,54757
105825,2919051,0.0,0.0,N,9748.0,1.0,10044,104466,79987.0,24479.0,0.0,0.0,0.0,0.0,0.0,0.0,FOND DU LAC,2022-08-31,1933-12-20,9,9,7,APPLETON,0,10044_20250930,DIF,1934-01-01,2328.0,0.0,96.0,2232.0,10337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49366.0,8439.0,201699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,24906.0,0.0,12970.0,205.0,1827,3292.0,0,0.0,0.0,0.0,199687.0,0.0,0.0,0.0,1688235,0.0,1690062,1638869,0.0,39385.0,0.0,260991.0,716095.0,137629.0,193548.0,45617.0,82039.0,0.0,19029.0,599594.0,1371081,30304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17429.0,191231.0,208660,1371081,0.0,64621,77711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691250,547499.0,143751.0,0.0,363156,0.0,17327.0,281208.0,32602.0,9236.0,27323.0,28078.0,4580.0,178963.0,42654,0,0.0,0.0,0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,0.0,0.0,2908.0,3,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,OCC,2025-09-30,0.0,602.0,0.0,1202052.0,1057815,53866.0,26198,1057815,0,3785.0,795,4580.0,88967.0,404864.0,88967.0,33670.0,0.0,0,0,157316.0,0.0,0.0,157316.0,0,0.0,662404.0,301076.0,133570.0,41467.0,33100.0,82666.0,156363.0,37211.0,74899.0,0,0,6677.0,341221.0,430076,9452.0,585.0,11327.0,34324.0,99801.0,1057813.0,6677,0.0,0,0,0.0,723069,654932,68137,4,WI,0,0,0.0,0,1,0.0,54935
9297,324134,0.0,0.0,NM,10347.0,1.0,10055,16376,13653.0,2723.0,0.0,0.0,0.0,0.0,0.0,0.0,WAYCROSS,2022-08-31,1907-06-19,5,5,6,ALBANY GA,0,10055_20250930,DIF,1934-01-01,0.0,0.0,0.0,0.0,3302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1071.0,25474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.0,0.0,1812.0,361.0,0,171.0,0,0.0,0.0,0.0,5453.0,0.0,0.0,0.0,224331,0.0,224331,222319,0.0,0.0,0.0,43235.0,73086.0,11274.0,27191.0,12594.0,0.0,0.0,14749.0,74463.0,192140,13717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6782.0,18123.0,24905,192140,0.0,21352,3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84434,16396.0,68038.0,0.0,66009,0.0,2455.0,42202.0,20469.0,8619.0,5451.0,5386.0,1237.0,1039.0,0,0,0.0,0.0,0,FIRST SOUTHERN BANK,FSBH CORP,0.0,0.0,0.0,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2171.0,FDIC,2025-09-30,0.0,0.0,0.0,5685653.0,65795,4.0,0,2339,39468,0.0,0,0.0,0.0,2168.0,0.0,0.0,0.0,0,0,19365.0,0.0,0.0,19365.0,63456,0.0,21533.0,0.0,2888.0,386.0,0.0,0.0,35757.0,5231.0,0.0,0,0,0.0,2168.0,63721,0.0,4.0,0.0,1172.0,18177.0,65795.0,0,0.0,2854,2784,0.0,65795,61001,4794,4,GA,0,0,0.0,0,0,0.0,31501
2543,80515,0.0,0.0,NM,292.0,1.0,10057,11954,11007.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,SPARTA,2022-08-31,1904-09-01,5,5,6,ATLANTA,0,10057_20250930,DIF,1934-01-01,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,1575.0,1656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577.0,0.0,4002.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20088,0.0,20088,19273,0.0,3751.0,0.0,3466.0,4006.0,1053.0,3889.0,565.0,3795.0,0.0,0.0,0.0,8988,1028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,404,8988,0.0,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495,11.0,484.0,0.0,7061,0.0,0.0,7013.0,2186.0,636.0,844.0,1934.0,1413.0,0.0,44,0,0.0,0.0,0,BANK OF HANCOCK COUNTY,Unknown,0.0,0.0,0.0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,FDIC,2025-09-30,0.0,0.0,0.0,0.0,46453,395.0,0,46453,3948,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4803.0,0.0,0.0,4803.0,0,0.0,4803.0,37702.0,0.0,457.0,0.0,2669.0,30067.0,8458.0,0.0,0,0,0.0,0.0,22289,0.0,0.0,0.0,859.0,3944.0,46454.0,0,0.0,985,843,0.0,8751,8751,0,7,GA,0,0,0.0,0,0,0.0,31087
82481,2210646,0.0,0.0,SM,28431.0,1.0,1005,161149,129177.0,31972.0,31265.0,9511.0,129076.0,21754.0,0.0,808.0,MOUNT PLEASANT,2022-10-09,1903-07-01,9,9,7,DETROIT,0,1005_20250930,DIF,1934-01-01,6679.0,4700.0,1979.0,0.0,29566.0,5636.0,218.0,5366.0,48.0,3584.0,16.0,14586.0,282.0,0.0,13149.0,33386.0,170750,24297.0,818.0,29063.0,270.0,51210.0,183.0,104570.0,1271.0,0.0,0.0,2973.0,72140.0,0.0,37977.0,777.0,0,0.0,0,0.0,0.0,0.0,2522.0,0.0,0.0,0.0,1432639,0.0,1432639,1419490,736.0,1492.0,0.0,287117.0,237899.0,74991.0,270288.0,124490.0,28318.0,0.0,8382.0,384109.0,1131865,68303,3190.0,74.0,13901.0,114.0,16981.0,61.0,34072.0,249.0,20748.0,79941.0,100689,1131865,0.0,51444,67527,4437.0,94.0,23120.0,182.0,82007.0,198.0,109564.0,474.0,403298,222390.0,180908.0,0.0,492048,233566.0,11148.0,429456.0,47862.0,17109.0,30215.0,104270.0,204884.0,21689.0,26826,0,0.0,0.0,0,ISABELLA BANK,ISABELLA BANK CORP,0.0,0.0,0.0,3,31,0,445.0,0.0,279.0,0.0,0.0,0.0,445.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,201,3.0,0.0,13820.0,FED,2025-09-30,16415.0,16415.0,0.0,1401118.0,511971,177423.0,0,511971,0,0.0,0,0.0,0.0,29749.0,0.0,181681.0,0.0,0,0,23309.0,0.0,89.0,23398.0,0,0.0,53147.0,71102.0,123370.0,21161.0,164681.0,58312.0,81604.0,9697.0,1856.0,10217,0,0.0,27893.0,186059,2.0,0.0,689.0,22288.0,89.0,511971.0,0,171464.0,3200,2790,0.0,259188,53147,206041,4,MI,0,0,0.0,0,1,0.0,48858
5326,148940,0.0,0.0,NM,1197.0,1.0,10072,15171,9684.0,5487.0,0.0,0.0,0.0,0.0,0.0,0.0,CAMILLA,2022-08-31,1913-05-24,5,5,6,ALBANY GA,11837,10072_20250930,DIF,1934-01-01,0.0,0.0,0.0,0.0,12895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,1264.0,11412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546.0,0.0,1282.0,0.0,0,0.0,0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,80961,0.0,80961,79712,0.0,280.0,0.0,29653.0,18541.0,5143.0,8105.0,8897.0,1534.0,0.0,0.0,4613.0,52574,7462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736.0,1899.0,4635,52574,0.0,347,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29856,18058.0,11798.0,0.0,10621,0.0,24.0,10250.0,2538.0,1529.0,1814.0,298.0,760.0,3137.0,1254,0,0.0,0.0,0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,0.0,0.0,233.0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,FDIC,2025-09-30,0.0,176.0,0.0,1081529.0,35697,1353.0,0,35697,3265,710.0,0,710.0,1502.0,4938.0,1502.0,3330.0,0.0,0,0,4803.0,0.0,0.0,4803.0,0,0.0,11953.0,17149.0,5700.0,642.0,0.0,2705.0,15479.0,720.0,846.0,2937,0,0.0,4802.0,22076,0.0,0.0,0.0,2415.0,2388.0,35697.0,0,393.0,1250,1216,0.0,15218,15218,0,2,GA,0,0,0.0,0,0,0.0,31730
1241,69563,0.0,0.0,NM,1556.0,1.0,10074,2299,0.0,2299.0,0.0,0.0,0.0,0.0,0.0,0.0,IRWINTON,2022-07-19,1907-07-16,5,5,6,ATLANTA,10662,10074_20250930,DIF,1934-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,852.0,3349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2132.0,0.0,1280.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35724,0.0,35724,35232,0.0,0.0,0.0,5695.0,2358.0,3890.0,5811.0,2327.0,0.0,0.0,249.0,0.0,30243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.0,3963.0,6282,30243,0.0,2240,352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5402,2524.0,2878.0,0.0,18207,0.0,615.0,15352.0,5639.0,426.0,3671.0,5163.0,430.0,0.0,0,0,0.0,0.0,0,APEX BANKING COMPANY OF GEORGIA,Unknown,0.0,0.0,0.0,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,FDIC,2025-09-30,0.0,0.0,0.0,0.0,18573,1831.0,0,18573,5535,0.0,0,0.0,392.0,1526.0,392.0,447.0,0.0,0,0,2612.0,0.0,0.0,2612.0,0,0.0,4530.0,8061.0,2227.0,167.0,1831.0,2449.0,7762.0,0.0,678.0,447,0,0.0,848.0,12549,56.0,0.0,0.0,2013.0,542.0,18573.0,0,0.0,0,0,0.0,10065,10065,0,8,GA,0,0,0.0,0,0,0.0,31042
