BKCLASS,CB,CERT,CITY,EDEPDOM,EDEPFOR,EFFDATE,EFREPP,EINTEXP,ELNATR,EOTHINT,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NIM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,10004,MARKESAN,3540.0,0.0,2023-03-22,40.0,3864.0,146.0,284.0,1910-01-20,9,9,7,MADISON,10004_20250930,DIF,1934-01-01,0,ERGO BANK,FS BANCSHARES INC,7005.0,3,6,0,0,FDIC,2025-09-30,1249691.0,2,WI,0,0,53946
NM,1.0,10011,MONROE,5000.0,0.0,2022-08-31,324.0,6641.0,300.0,1317.0,1915-01-01,9,9,7,MADISON,10011_20250930,DIF,1934-01-01,0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,12318.0,3,6,0,0,FDIC,2025-09-30,2961347.0,4,WI,1,0,53566
NM,1.0,10012,ALMOND,1975.0,0.0,2022-08-31,0.0,2179.0,15.0,204.0,1901-01-01,9,9,7,APPLETON,10012_20250930,DIF,1934-01-01,0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,5674.0,3,4,0,0,FDIC,2025-09-30,1141133.0,4,WI,1,0,54909
NM,1.0,10015,NEW AUBURN,4371.0,0.0,2022-08-31,0.0,4616.0,180.0,245.0,1907-08-28,9,9,9,EAU CLAIRE,10015_20250930,DIF,1934-01-01,0,SECURITY BANK,SECURITY BANK SHARES INC,6376.0,3,4,0,0,FDIC,2025-09-30,1128497.0,4,WI,0,0,54757
N,1.0,10044,FOND DU LAC,34852.0,0.0,2022-08-31,444.0,35592.0,4400.0,296.0,1933-12-20,9,9,7,APPLETON,10044_20250930,DIF,1934-01-01,0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,76871.0,3,34,0,0,OCC,2025-09-30,1202052.0,4,WI,0,1,54935
NM,1.0,10055,WAYCROSS,2813.0,0.0,2022-08-31,0.0,2813.0,150.0,0.0,1907-06-19,5,5,6,ALBANY GA,10055_20250930,DIF,1934-01-01,0,FIRST SOUTHERN BANK,FSBH CORP,10377.0,5,7,0,0,FDIC,2025-09-30,5685653.0,4,GA,0,0,31501
NM,1.0,10057,SPARTA,660.0,0.0,2022-08-31,0.0,660.0,0.0,0.0,1904-09-01,5,5,6,ATLANTA,10057_20250930,DIF,1934-01-01,0,BANK OF HANCOCK COUNTY,Unknown,2053.0,5,1,0,0,FDIC,2025-09-30,0.0,7,GA,0,0,31087
SM,1.0,1005,MOUNT PLEASANT,23218.0,0.0,2022-10-09,1096.0,24494.0,-997.0,180.0,1903-07-01,9,9,7,DETROIT,1005_20250930,DIF,1934-01-01,0,ISABELLA BANK,ISABELLA BANK CORP,46353.0,3,31,0,0,FED,2025-09-30,1401118.0,4,MI,0,1,48858
NM,1.0,10072,CAMILLA,1580.0,0.0,2022-08-31,1.0,1913.0,100.0,332.0,1913-05-24,5,5,6,ALBANY GA,10072_20250930,DIF,1934-01-01,0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,3727.0,5,1,0,0,FDIC,2025-09-30,1081529.0,2,GA,0,0,31730
NM,1.0,10074,IRWINTON,531.0,0.0,2022-07-19,0.0,531.0,48.0,0.0,1907-07-16,5,5,6,ATLANTA,10074_20250930,DIF,1934-01-01,0,APEX BANKING COMPANY OF GEORGIA,Unknown,2176.0,5,2,0,0,FDIC,2025-09-30,0.0,8,GA,0,0,31042
NM,1.0,10075,COLFAX,329.0,0.0,2022-08-31,2.0,331.0,0.0,0.0,1892-06-01,9,9,7,CHAMPAIGN,10075_20250930,DIF,1934-01-01,0,PEOPLES STATE BANK OF COLFAX,PEOPLES FINANCIAL CORP,1249.0,3,1,0,0,FDIC,2025-09-30,2128896.0,2,IL,0,0,61728
NM,1.0,10077,EMDEN,158.0,0.0,2022-08-31,0.0,158.0,11.0,0.0,1891-05-25,9,9,7,SPRINGFIELD IL,10077_20250930,DIF,1934-01-01,0,FARMERS STATE BANK OF EMDEN,Unknown,961.0,3,1,0,0,FDIC,2025-09-30,0.0,2,IL,0,1,62635
