ASSET,BKCLASS,CB,CERT,CITY,DEP,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ICHBAL,ID,IFREPO,ILNDOM,ILNFOR,ILS,INSAGNT1,INSDATE,INTINC,IOTHII,ISC,ITRADE,MUTUAL,NAMEFULL,NAMEHCR,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
254611,NM,1.0,10004,MARKESAN,216536,2023-03-22,1910-01-20,9,9,7,MADISON,34.0,10004_20250930,19.0,9848.0,0.0,0.0,DIF,1934-01-01,10869.0,79.0,889.0,0.0,0,ERGO BANK,FS BANCSHARES INC,3,6,0,0,FDIC,2025-09-30,1249691.0,2,WI,0,0,53946
490950,NM,1.0,10011,MONROE,381139,2022-08-31,1915-01-01,9,9,7,MADISON,20.0,10011_20250930,180.0,16444.0,0.0,108.0,DIF,1934-01-01,18959.0,248.0,1959.0,0.0,0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,3,6,0,0,FDIC,2025-09-30,2961347.0,4,WI,1,0,53566
220933,NM,1.0,10012,ALMOND,185973,2022-08-31,1901-01-01,9,9,7,APPLETON,484.0,10012_20250930,0.0,6475.0,0.0,0.0,DIF,1934-01-01,7853.0,0.0,894.0,0.0,0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,3,4,0,0,FDIC,2025-09-30,1141133.0,4,WI,1,0,54909
230511,NM,1.0,10015,NEW AUBURN,196313,2022-08-31,1907-08-28,9,9,9,EAU CLAIRE,194.0,10015_20250930,487.0,10177.0,0.0,0.0,DIF,1934-01-01,10992.0,23.0,111.0,0.0,0,SECURITY BANK,SECURITY BANK SHARES INC,3,4,0,0,FDIC,2025-09-30,1128497.0,4,WI,0,0,54757
2919051,N,1.0,10044,FOND DU LAC,2321022,2022-08-31,1933-12-20,9,9,7,APPLETON,3854.0,10044_20250930,0.0,81094.0,0.0,0.0,DIF,1934-01-01,112463.0,1462.0,26053.0,0.0,0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,3,34,0,0,OCC,2025-09-30,1202052.0,4,WI,0,1,54935
324134,NM,1.0,10055,WAYCROSS,292274,2022-08-31,1907-06-19,5,5,6,ALBANY GA,567.0,10055_20250930,22.0,11443.0,0.0,0.0,DIF,1934-01-01,13190.0,14.0,1144.0,0.0,0,FIRST SOUTHERN BANK,FSBH CORP,5,7,0,0,FDIC,2025-09-30,5685653.0,4,GA,0,0,31501
80515,NM,1.0,10057,SPARTA,67132,2022-08-31,1904-09-01,5,5,6,ATLANTA,429.0,10057_20250930,0.0,1326.0,0.0,0.0,DIF,1934-01-01,2713.0,18.0,940.0,0.0,0,BANK OF HANCOCK COUNTY,Unknown,5,1,0,0,FDIC,2025-09-30,0.0,7,GA,0,0,31087
2210646,SM,1.0,1005,MOUNT PLEASANT,1950278,2022-10-09,1903-07-01,9,9,7,DETROIT,1856.0,1005_20250930,2.0,59851.0,0.0,0.0,DIF,1934-01-01,70847.0,469.0,8669.0,0.0,0,ISABELLA BANK,ISABELLA BANK CORP,3,31,0,0,FED,2025-09-30,1401118.0,4,MI,0,1,48858
148940,NM,1.0,10072,CAMILLA,127383,2022-08-31,1913-05-24,5,5,6,ALBANY GA,187.0,10072_20250930,106.0,4636.0,0.0,0.0,DIF,1934-01-01,5640.0,25.0,686.0,0.0,0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,5,1,0,0,FDIC,2025-09-30,1081529.0,2,GA,0,0,31730
69563,NM,1.0,10074,IRWINTON,63680,2022-07-19,1907-07-16,5,5,6,ATLANTA,0.0,10074_20250930,209.0,2124.0,0.0,0.0,DIF,1934-01-01,2707.0,0.0,374.0,0.0,0,APEX BANKING COMPANY OF GEORGIA,Unknown,5,2,0,0,FDIC,2025-09-30,0.0,8,GA,0,0,31042
